,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
AK-500,1188,1110,947,79.71%,950,238,0,107,346,833,9,0,121,950,882,727,76.53%,501,6,42,194,748,8,0,48,238,228,220,92.44%,65,152,85,1,0,73,0,0,0,,0,0,0,0,0,0,256,256,256,100.00%,45,168,88,0,39,12,720,720,529,73.47%,53,172,548,0,191,30,489,226,226,129,57.08%,19,84,142,0,0,0
AK-501,1120,659,620,55.36%,847,273,0,119,372,718,30,12,41,847,459,436,51.48%,108,2,93,267,551,29,0,29,273,200,184,67.40%,26,105,167,1,12,12,0,0,0,,0,0,0,0,0,0,105,89,89,84.76%,14,52,53,0,55,8,385,385,200,51.95%,23,50,335,0,167,0,180,142,97,0,0.00%,19,68,74,0,0,0
AL-500,544,475,475,87.32%,424,110,10,30,89,448,7,58,19,424,388,388,91.51%,0,0,22,67,350,7,46,7,110,77,77,70.00%,8,22,88,0,12,12,10,10,10,100.00%,0,0,10,0,0,0,179,179,179,100.00%,19,56,123,0,56,11,1399,1399,1399,100.00%,76,239,1160,0,615,0,100,99,99,99,100.00%,10,30,69,0,0,0
AL-501,394,323,323,81.98%,252,142,0,75,218,176,0,56,0,252,201,201,79.76%,0,24,48,137,115,0,3,0,142,122,122,85.92%,27,81,61,0,53,0,0,0,0,,0,0,0,0,0,0,173,173,173,100.00%,35,132,41,0,27,0,241,241,241,100.00%,8,26,215,0,60,0,91,9,9,9,100.00%,0,0,9,0,9,0
AL-502,302,112,16,5.30%,86,216,0,69,121,165,16,0,16,86,8,8,9.30%,30,0,22,51,35,0,0,0,216,104,8,3.70%,47,70,130,16,0,16,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
AL-503,429,400,192,44.76%,399,30,0,44,163,219,47,0,47,399,370,170,42.61%,0,1,34,134,218,47,0,47,30,30,22,73.33%,10,29,1,0,0,0,0,0,0,,0,0,0,0,0,0,9,9,9,100.00%,1,2,7,0,7,0,154,154,39,25.32%,6,24,130,0,115,0,120,0,0,0,,0,0,0,0,0,0
AL-504,237,168,168,70.89%,169,68,0,25,78,159,0,33,0,169,158,158,93.49%,0,32,12,35,134,0,33,0,68,10,10,14.71%,13,43,25,0,0,0,0,0,0,,0,0,0,0,0,0,14,14,14,100.00%,2,4,10,0,0,0,168,168,168,100.00%,0,0,168,0,0,0,23,0,0,0,,0,0,0,0,0,0
AL-505,54,38,38,70.37%,50,4,0,4,11,43,0,0,0,50,34,34,68.00%,0,0,4,11,39,0,0,0,4,4,4,100.00%,0,0,4,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,1,100.00%,0,0,1,0,0,0,8,8,8,100.00%,0,0,8,0,0,0,0,8,8,8,100.00%,1,2,6,0,0,0
AL-506,98,82,82,83.67%,90,8,0,6,34,64,0,8,14,90,74,74,82.22%,0,0,6,34,56,0,0,14,8,8,8,100.00%,0,0,8,0,8,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,282,282,15,5.32%,2,10,272,0,267,7,164,0,0,0,,0,0,0,0,0,0
